Kód;Obec;Voliči;Obálky;Platné hlasy;1;2;3;4;44;5;6;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
589489;Dřevnovice;0;0;0;380;0;0;0;0;0;0;31,05;0,00;0,00;0,00;0,00;12,78;14,61;0,00;2,73;0,00;0,45;0,00;0,00;0,00;0,00;1,82;0,00;0,00;0,45;17,35;0,91;10,95;6,84;0,00;0,00
589497;Dzbel;0;0;0;209;0;0;0;0;0;0;37,59;0,00;0,00;0,00;0,00;16,54;18,04;0,00;1,50;0,00;0,75;0,00;0,00;1,50;0,00;3,75;0,00;0,75;0,00;6,01;0,00;4,51;8,27;0,00;0,75
549967;Hačky;0;0;0;83;0;0;0;0;0;0;18,46;0,00;1,53;0,00;0,00;0,00;27,69;0,00;6,15;0,00;0,00;1,53;1,53;4,61;0,00;6,15;3,07;4,61;0,00;7,69;1,53;0,00;15,38;0,00;0,00
589501;Hluchov;0;0;0;292;0;0;0;0;0;0;35,26;0,00;0,00;0,00;0,57;14,45;5,20;0,00;5,20;0,00;0,00;0,00;0,00;0,00;0,00;2,31;0,00;3,46;2,89;20,80;0,57;4,04;5,20;0,00;0,00
589519;Horní Štěpánov;0;0;0;0;749;0;0;0;0;0;28,76;0,00;0,00;0,00;0,44;10,61;14,15;0,22;3,53;0,00;0,88;0,00;0,00;0,44;0,00;2,21;0,22;0,22;0,22;14,60;1,10;9,07;12,38;0,88;0,00
589527;Hradčany-Kobeřice;0;0;0;0;326;0;0;0;0;0;25,77;0,51;0,00;0,00;1,54;12,37;7,21;0,51;5,67;0,00;0,00;0,00;0,00;1,54;0,00;2,57;0,00;0,51;0,51;25,25;0,51;7,21;8,24;0,00;0,00
589535;Hrdibořice;0;0;0;178;0;0;0;0;0;0;24,77;0,00;0,00;0,00;0,00;20,18;4,58;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;1,83;0,91;2,75;0,91;18,34;2,75;9,17;2,75;0,00;0,00
589543;Hrubčice;0;0;0;617;0;0;0;0;0;0;34,49;0,00;0,00;0,00;0,80;11,76;7,48;0,00;9,35;0,00;1,06;0,00;0,00;0,53;0,00;3,74;0,53;1,06;0,00;10,96;2,40;9,35;6,41;0,00;0,00
543543;Hruška;0;0;0;191;0;0;0;0;0;0;37,50;0,00;0,00;0,00;1,13;20,45;6,81;0,00;3,40;0,00;0,00;0,00;0,00;0,00;0,00;4,54;0,00;0,00;0,00;19,31;1,13;4,54;1,13;0,00;0,00
589560;Hvozd;0;0;0;0;0;524;0;0;0;0;23,51;0,00;0,00;0,00;0,00;12,50;17,55;0,29;4,76;0,00;2,08;0,00;0,00;0,29;0,29;4,16;0,89;1,19;0,59;10,71;1,48;8,92;10,11;0,29;0,29
